MC, ,1,"Do you think your local butcher will reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian? Of course not! The supply chain for meat just isn't sensitive to the quantities that a single person consumes. So, by becoming a vegetarian, you'll never save a single animal's life! But by becoming a vegetarian, you'll deprive yourself of the pleasure of eating meat, and you should only do that if the benefits would outweigh the losses. Therefore, you should only become a vegetarian if doing so would save some animals' lives. QUESTION: What is the conclusion of this argument?",2,There is no benefit to becoming a vegetarian.,You shouldn't become a vegetarian.,Becoming vegetarian will not save any animals' lives.,You should only become vegetarian if doing so would save animals' lives.,The supply chain for meat isn't sensitive to the quantities that a single person consumes.
MC, ,1,"Do you think your local butcher will reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian? Of course not! The supply chain for meat just isn't sensitive to the quantities that a single person consumes. So, by becoming a vegetarian, you'll never save a single animal's life! But by becoming a vegetarian, you'll deprive yourself of the pleasure of eating meat, and you should only do that if the benefits would outweigh the losses. Therefore, you should only become a vegetarian if doing so would save some animals' lives. QUESTION: What reason is given for the claim that by becoming a vegetarian you will not be saving any animals' lives?",2,"Your local butcher will not reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian, which is the only way you could save animals' lives by becoming a vegetarian.",The supply chain is not sensitive to consumption.,"The only relevant benefit of becoming vegetarian would be saving animals' lives, and becoming a vegetarian will not help save animals' lives.",The supply chain is not sensitive to the quantities of meat that a single person consumes.,You becoming a vegetarian and animals' lives being saved do not have a cause-effect relationship.
MC, ,1,"Do you think your local butcher will reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian? Of course not! The supply chain for meat just isn't sensitive to the quantities that a single person consumes. So, by becoming a vegetarian, you'll never save a single animal's life! But by becoming a vegetarian, you'll deprive yourself of the pleasure of eating meat, and you should only do that if the benefits would outweigh the losses. Therefore, you should only become a vegetarian if doing so would save some animals' lives. QUESTION: What is assumed in the inference from the claim that the supply chain is not sensitive to the quantities of meat that a single person consumes, to the conclusion that by becoming a vegetarian you will not be saving any animals' lives?",2,You shouldn't become a vegetarian.,The only way to save animals' lives by becoming a vegetarian is by influencing the supply chain.,Animals' lives should be saved.,The supply chain is not sensitive to the quantities of meat that a single person consumes.,The only relevant benefit of becoming vegetarian would be saving animals' lives.
MC, ,1,"Do you think your local butcher will reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian? Of course not! The supply chain for meat just isn't sensitive to the quantities that a single person consumes. So, by becoming a vegetarian, you'll never save a single animal's life! But by becoming a vegetarian, you'll deprive yourself of the pleasure of eating meat, and you should only do that if the benefits would outweigh the losses. Therefore, you should only become a vegetarian if doing so would save some animals' lives. QUESTION: What reason is given for the claim that you should only become a vegetarian if doing so would save animals' lives?",2,"By becoming a vegetarian you will lose the pleasure of eating meat, and you should only deprive yourself of pleasure if the benefits outweigh the losses. Furthermore, the only relevant benefit of becoming vegetarian would be saving animals' lives.","By becoming a vegetarian you will lose the pleasure of eating meat, and you should only deprive yourself of pleasure if the benefits outweigh the losses.",Saving animals' lives is very important and is worth depriving yourself of the pleasure of eating meat.,"If the supply chain for meat is sensitive to the quantities that a single person consumes, then you are obligated to deprive yourself of the pleasure of eating meat.",You should only deprive yourself of pleasure of the benefits outweigh the losses.
MC, ,1,"Do you think your local butcher will reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian? Of course not! The supply chain for meat just isn't sensitive to the quantities that a single person consumes. So, by becoming a vegetarian, you'll never save a single animal's life! But by becoming a vegetarian, you'll deprive yourself of the pleasure of eating meat, and you should only do that if the benefits would outweigh the losses. Therefore, you should only become a vegetarian if doing so would save some animals' lives. QUESTION: What is assumed in the inference from the claim ""by becoming a vegetarian you will lose the pleasure of eating meat, and you should deprive yourself of pleasure if the benefits outweigh the losses"" to the conclusion that you should only become a vegetarian if doing so would save animals' lives?",5,Our actions need to influence others to be relevant.,Your local butcher will not reduce the amount of meat she orders from the slaughterhouse if you become a vegetarian.,The pleasure of eating meat is more important than saving animals' lives.,Animals' lives do not need to be saved.,The only relevant benefit of becoming vegetarian would be saving animals' lives.
MC, ,1,"I don't think that humans should become biologically immortal. Due to natural selection and the process of evolution, each new generation of humans is slightly better adapted to survive than the one before it. If an entire generation were to become biologically immortal, this process would basically stagnate. Any future generations would have to be very small (or even nonexistent), because if there were a much lower death rate, we would have to limit the number of people born in order to preserve resources. Biological immortality would essentially stunt the evolutionary development of the entire human race. QUESTION: What does this argument conclude?",1,Humans should not become biologically immortal.,Biological immortality would force us to preserve resources.,"If we were biologically immortal, any future generations would have to be very small or nonexistent.",Biological immortality would force us to limit the number of people born.,Biological immortality would stunt the evolutionary development of the entire human race.
MC, ,1,"I don't think that humans should become biologically immortal. Due to natural selection and the process of evolution, each new generation of humans is slightly better adapted to survive than the one before it. If an entire generation were to become biologically immortal, this process would basically stagnate. Any future generations would have to be very small (or even nonexistent), because if there were a much lower death rate, we would have to limit the number of people born in order to preserve resources. Biological immortality would essentially stunt the evolutionary development of the entire human race. QUESTION: Which of the following is used to directly support the claim ""humans should not become biologically immortal""?",2,"If humans were biologically immortal, any future generations would have to be very small or nonexistent.",Biological immortality would stunt the evolutionary development of the entire human race.,"Due to natural selection and the process of evolution, each new generation of humans is better adapted to survive than the one before it.","If there were a much lower death rate, we would have to limit the number of people born in order to preserve resources.",We should not limit the number of people that can be born in order to preserve resources.
MC, ,1,"I don't think that humans should become biologically immortal. Due to natural selection and the process of evolution, each new generation of humans is slightly better adapted to survive than the one before it. If an entire generation were to become biologically immortal, this process would basically stagnate. Any future generations would have to be very small (or even nonexistent), because if there were a much lower death rate, we would have to limit the number of people born in order to preserve resources. Biological immortality would essentially stunt the evolutionary development of the entire human race. QUESTION: Which of the following is used to directly support the claim ""biological immortality would stunt the evolutionary development of the entire human race""?",4,Humans should not threaten the evolutionary development of the entire human race.,Humans should not become biologically immortal when it would stunt our evolutionary development.,"If there is a much lower death rate, we would have to limit the number of people born in order to preserve resources.","If humans became biologically immortal, future generations would have to be very small or even nonexistent.","If an entire generation were to become biologically immortal, the evolutionary process would stagnate."
MC, ,1,"I don't think that humans should become biologically immortal. Due to natural selection and the process of evolution, each new generation of humans is slightly better adapted to survive than the one before it. If an entire generation were to become biologically immortal, this process would basically stagnate. Any future generations would have to be very small (or even nonexistent), because if there were a much lower death rate, we would have to limit the number of people born in order to preserve resources. Biological immortality would essentially stunt the evolutionary development of the entire human race. QUESTION: Which of the following is used to directly support the claim ""if humans became biologically immortal, future generations would have to be very small or even nonexistent""?",2,It would be a bad thing for future generations to be very small or even nonexistent.,"If there were a much lower death rate, in order to preserve resources we would have to limit the number of people born.",Preservation of resources is necessary for the evolutionary development of the human race.,"If humans became biologically immortal, the evolutionary process would stagnate.",We should prevent future generations from being small or nonexistent.
MC, ,1,"I don't think that humans should become biologically immortal. Due to natural selection and the process of evolution, each new generation of humans is slightly better adapted to survive than the one before it. If an entire generation were to become biologically immortal, this process would basically stagnate. Any future generations would have to be very small (or even nonexistent), because if there were a much lower death rate, we would have to limit the number of people born in order to preserve resources. Biological immortality would essentially stunt the evolutionary development of the entire human race. QUESTION: What is assumed when the claim ""if there is a much lower death rate, we would have to limit the number of people born in order to preserve resources"" is used to support the claim that if humans became biologically immortal, future generations would have to be very small or even nonexistent?",5,We should not allow a much lower death rate if it requires limiting births.,"If humans became biologically immortal, we would have to preserve resources.",We should not limit the number of people born in order to preserve resources.,Biological immortality would result in overpopulation unless we limit births.,"If humans became biologically immortal, there would be a much lower death rate."
MC, ,1,"As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy! QUESTION: What does this argument conclude?",5,State-funded college for everyone would diminish the quality of education.,State-funded education goes against the very essence of democracy.,We don't want the state to be in control of what we learn.,It is too expensive for the state to fund college education.,We should not let the state fund college education.
MC, ,1,"As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy! QUESTION: Of the following claims, which are used to directly support the claim ""we should not let the state fund college education""?
 1. It is too expensive for the state to fund college education.
 2. State-education would have fewer resources.
 3. State-funded education suffers in quality.
 4. If the state funded college education, it could control the curriculum.",5,"1, 4","1, 3","1, 2","3, 4","2, 4"
MC, ,1,"As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy! QUESTION: What is assumed when the claim ""state-funded education suffers in quality"" is used to support the claim that we should not let the state fund college education?",5,The quality of education is the state's top priority.,The state should not be in control of the curriculum.,Lack of resources leads to lower quality education.,State-funded education would have fewer resources.,We should not lower the quality of education.
MC, ,1,"As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy! QUESTION: Which of the following is used to directly support the claim ""we should not let the state control the curriculum""?",4,A high priority of the state's is to gain public support of its policies.,We should not let the state promote its own ideas and censor criticism of the government.,"If the state funded college education, it could control the curriculum.","A state that controls the curriculum could promote its own ideas and stop criticism of the government, which would be anti-democratic.",There is no reason given.
MC, ,1,"As nice as free college for everyone sounds, we shouldn't let the state fund college education. First of all, that would be expensive for the state, and expensive state-funded programs often result in resources being thinly spread. So, with resources spread so thin, the quality of education offered would definitely suffer. More importantly, we don't want the state to be in control of what we learn! If that were the case, then they could stop any criticism of the government and only promote their own ideas. That goes against the very essence of democracy! QUESTION: What is assumed when the claim ""a state that controls the curriculum could do things that go against democracy"" is used to support the claim that we should not let the state control the curriculum?",3,We should not allow the state to do anything that is anti-democratic.,The state would stop any criticism of the government and only promote their own ideas.,Letting the state control the curriculum would cause them to do things that are anti-democratic.,A high priority of the state's is to gain public support of its policies.,None of the above.
MC, ,1,"Raising the drinking age to 21 has done more than just save lives. At age 21, deaths, hospitalizations, and arrests all jump sharply as a result of increased alcohol consumption. Thus, if we made the drinking age earlier, we would just provide an earlier start for these destructive behaviors. Plus, lowering the drinking age would lower the perceived risk involved in consuming alcohol. When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions. QUESTION: What does this argument conclude?",5,Raising the drinking age to 21 has done more than just save lives.,We should not provide an earlier start for destructive behaviors.,An earlier drinking age would provide an earlier start for destructive behaviors.,A lower drinking age would make people perceive the risk from alcohol consumption as lower than it really is.,We should not lower the drinking age.
MC, ,1,"Raising the drinking age to 21 has done more than just save lives. At age 21, deaths, hospitalizations, and arrests all jump sharply as a result of increased alcohol consumption. Thus, if we made the drinking age earlier, we would just provide an earlier start for these destructive behaviors. Plus, lowering the drinking age would lower the perceived risk involved in consuming alcohol. When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions. QUESTION: Which of the following is used to directly support the conclusion ""we should not lower the drinking age""?",4,People consume more alcohol when they reach drinking age.,"Increased alcohol consumption results in an increased risk for death, arrests, and hospitalizations.",We should not limit people's ability to make good decisions.,An earlier drinking age would provide an earlier start for destructive behaviors.,"When people fail to accurately evaluate risks, they cannot make good decisions."
MC, ,1,"Raising the drinking age to 21 has done more than just save lives. At age 21, deaths, hospitalizations, and arrests all jump sharply as a result of increased alcohol consumption. Thus, if we made the drinking age earlier, we would just provide an earlier start for these destructive behaviors. Plus, lowering the drinking age would lower the perceived risk involved in consuming alcohol. When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions. QUESTION: What is assumed when the claim ""an earlier drinking age would provide an earlier start for destructive behaviors"" is used to support the claim that we should not lower the drinking age?",3,People consume more alcohol when they reach drinking age.,"Increased alcohol consumption results in an increased risk for death, arrests, and hospitalizations.",We should not provide an earlier start for destructive behaviors.,We should not establish an earlier drinking age.,People should not start destructive behaviors earlier.
MC, ,1,"Raising the drinking age to 21 has done more than just save lives. At age 21, deaths, hospitalizations, and arrests all jump sharply as a result of increased alcohol consumption. Thus, if we made the drinking age earlier, we would just provide an earlier start for these destructive behaviors. Plus, lowering the drinking age would lower the perceived risk involved in consuming alcohol. When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions. QUESTION: Which of the following is used to directly support the claim ""an earlier drinking age would provide an earlier start for destructive behaviors""?",1,"Increased alcohol consumption results in an increased risk for death, arrests, and hospitalizations.",Raising the drinking age to 21 has done more than just save lives.,A lower drinking age would make people perceive the risk from alcohol consumption as lower than it really is.,Young people do not have fully developed minds and are more prone to destructive behaviors if they drink.,"When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions."
MC, ,1,"Raising the drinking age to 21 has done more than just save lives. At age 21, deaths, hospitalizations, and arrests all jump sharply as a result of increased alcohol consumption. Thus, if we made the drinking age earlier, we would just provide an earlier start for these destructive behaviors. Plus, lowering the drinking age would lower the perceived risk involved in consuming alcohol. When people perceive the risk from alcohol consumption as lower as it really is, they cannot accurately evaluate the risk involved in an action and make good decisions. QUESTION: What is assumed when the claim ""increased alcohol consumption results in an increased risk for death, arrests, and hospitalizations"" is used to support the claim that an earlier drinking age would provide an earlier start for destructive behaviors?",3,A lower drinking age would make people perceive the risk from alcohol consumption as lower than it really is.,We should not provide an earlier start for destructive behaviors.,People consume more alcohol when they reach drinking age.,"Death, arrests, and hospitalizations will result from an earlier drinking age.","We should not allow people to have an increased risk for death, arrests, and hospitalizations."
