"trialid","passage","qnum","question","image","choice1","choice2","choice3","choice4","choice5","correct","explanation"
"AQ002N","Imagine that scientists invent a pill that makes you more creative, improves your memory, and increases your ability to concentrate. Now imagine that you took that pill and become vastly more talented than you naturally are. 

Some people believe that the talents such a pill would give you would be less authentic than talents that you were born with or worked for. However, we already accept many enhancement technologies: athletes wear fancy shoes and higher-level math students can use calculators. Essentially, once we master the basics of something, we want to understand more advanced topics. There is no point for a mathematician to do arithmetic by hand---she wouldn't learn anything new and it would take away time for focusing on interesting work. So, cognitive enhancement would actually make talents more authentic, because you could concentrate on complex, interesting topics instead of spending time on menial tasks like improving your ability to concentrate and memorize.","1","What is the main question that is at issue in this passage?","AQ002N_image_Q0.png","Whether scientists can invent a pill which makes us vastly more talented than we naturally are","Whether we accept many enhancement technologies","Whether scientists should invent a pill which makes us vastly more talented than we naturally are","Whether cognitive enhancement would make talents less authentic","Whether cognitive enhancement would help us concentrate on complex, interesting topics","Whether cognitive enhancement would make talents less authentic","The main issue that is at stake in this passage is whether cognitive enhancement would make talents less authentic."
"AQ002N","Imagine that scientists invent a pill that makes you more creative, improves your memory, and increases your ability to concentrate. Now imagine that you took that pill and become vastly more talented than you naturally are. Some people believe that the talents such a pill would give you would be less authentic than talents that you were born with or worked for. However, we already accept many enhancement technologies: athletes wear fancy shoes and higher-level math students can use calculators. Essentially, once we master the basics of something, we want to understand more advanced topics. There is no point for a mathematician to do arithmetic by hand---she wouldn't learn anything new and it would take away time for focusing on interesting work. So, cognitive enhancement would actually make talents more authentic, because you could concentrate on complex, interesting topics instead of spending time on menial tasks like improving your ability to concentrate and memorize.
","2","Which of the following is used to directly oppose the claim “cognitive enhancement would make talents less authentic”?","AQ002N_image_Q1.png","Cognitive enhancement would just allow people to explore more complex, interesting topics.","Cognitive enhancement would make talents more authentic.","Cognitive enhancement would make us more creative, improve our memories, and increase our abilities to concentrate.","There is no point for a mathematician to do arithmetic by hand.","We currently spend a great deal of time on menial tasks like improving our ability to concentrate and memorize.","Cognitive enhancement would just allow people to explore more complex, interesting topics.","The main issue that is at stake in this passage is whether cognitive enhancement would make talents less authentic. The objection to the claim that it would is that cognitive enhancement would just allow people to explore more complex, interesting topics."
"AQ002N","Imagine that scientists invent a pill that makes you more creative, improves your memory, and increases your ability to concentrate. Now imagine that you took that pill and become vastly more talented than you naturally are. Some people believe that the talents such a pill would give you would be less authentic than talents that you were born with or worked for. However, we already accept many enhancement technologies: athletes wear fancy shoes and higher-level math students can use calculators. Essentially, once we master the basics of something, we want to understand more advanced topics. There is no point for a mathematician to do arithmetic by hand---she wouldn't learn anything new and it would take away time for focusing on interesting work. So, cognitive enhancement would actually make talents more authentic, because you could concentrate on complex, interesting topics instead of spending time on menial tasks like improving your ability to concentrate and memorize.
","3","What is assumed when the claim “cognitive enhancement would just allow people to explore more complex, interesting topics” is used to oppose the claim “cognitive enhancement would make talents less authentic”?","AQ002N_image_Q2.png","The case of cognitive enhancement is the same as the case of athletes and math students.","We should prioritize complex, interesting topics.","Focusing on more complex, interesting topics would make talents more authentic.","Cognitive enhancement makes us more creative, improves our memories, and increases our abilities to concentrate.","The most authentic talents are those which are the most enhanced.","Focusing on more complex, interesting topics would make talents more authentic.","The main issue that is at stake in this passage is whether cognitive enhancement would make talents less authentic. The objection to the claim that it would is that cognitive enhancement would just allow people to explore more complex, interesting topics. This inference assumes that focusing on more complex, interesting topics would make talents more authentic. "
"AQ002N","Imagine that scientists invent a pill that makes you more creative, improves your memory, and increases your ability to concentrate. Now imagine that you took that pill and become vastly more talented than you naturally are. Some people believe that the talents such a pill would give you would be less authentic than talents that you were born with or worked for. However, we already accept many enhancement technologies: athletes wear fancy shoes and higher-level math students can use calculators. Essentially, once we master the basics of something, we want to understand more advanced topics. There is no point for a mathematician to do arithmetic by hand---she wouldn't learn anything new and it would take away time for focusing on interesting work. So, cognitive enhancement would actually make talents more authentic, because you could concentrate on complex, interesting topics instead of spending time on menial tasks like improving your ability to concentrate and memorize.
","4","Which of the following is used to directly support the claim “cognitive enhancement would just allow people to explore more complex, interesting topics”?","AQ002N_image_Q3.png","We already accept many enhancement technologies.","We should concentrate on more complex, interesting topics.","Cognitive enhancement would actually make talents more authentic.","Cognitive enhancement allows you to skip menial tasks, so that you can explore complex, interesting topics.","Cognitive enhancement makes us more creative, improves our memories, and increases our abilities to concentrate.","Cognitive enhancement allows you to skip menial tasks, so that you can explore complex, interesting topics.","The main issue that is at stake in this passage is whether cognitive enhancement would make talents less authentic. The objection to the claim that it would is that cognitive enhancement would just allow people to explore more complex, interesting topics. This inference assumes that focusing on more complex, interesting topics would make talents more authentic. The reason given to support the claim that cognitive enhancement would just allow people to explore more complex, interesting topics is that cognitive enhancement allows you to skip menial tasks."
"AQ004E","When people talk about pursuing cognitive enhancement, they often have immediate, strong feelings. Consider the ""playing God"" argument that is often used in opposition to enhancement: people say that cognitive enhancement would disrupt the order of things, which is wrong. But this argument doesn't succeed--after all, we treat diseases and cure the sick, going against the natural order of things.","1","What is the main question that is at issue in this passage?","AQ004E_image_00.png","Whether we go against the natural order of things when we treat disease and cure the sick","Whether cognitive enhancement would disrupt the order of things","Whether playing god is wrong","Whether humans should pursue cognitive enhancement","Whether it is wrong to disrupt the order of things","Whether humans should pursue cognitive enhancement",NA
"AQ004E","When people talk about pursuing cognitive enhancement, they often have immediate, strong feelings. Consider the ""playing God"" argument that is often used in opposition to enhancement: people say that cognitive enhancement would disrupt the order of things, which is wrong. But this argument doesn't succeed--after all, we treat diseases and cure the sick, going against the natural order of things.","2","Which of the following is used to directly support the claim “humans should not pursue cognitive enhancement”?","AQ004E_image_01.png","Cognitive enhancement gives humans too much power.","Cognitive enhancement would disrupt the natural order of things, which is wrong.","We do not go against the natural order of things when we treat diseases.","Humans have no reason to improve themselves cognitively.","We should not pursue that which will cause us harm.","Cognitive enhancement would disrupt the natural order of things, which is wrong.",NA
"AQ004E","When people talk about pursuing cognitive enhancement, they often have immediate, strong feelings. Consider the ""playing God"" argument that is often used in opposition to enhancement: people say that cognitive enhancement would disrupt the order of things, which is wrong. But this argument doesn't succeed--after all, we treat diseases and cure the sick, going against the natural order of things.","3","Which of the following is used to directly oppose to the claim “disrupting the natural order of things is wrong”?","AQ004E_image_02.png","Cognitive enhancement would not disrupt the natural order of things.","Curing the sick disrupts the natural order of things.","It is not wrong to disrupt the natural order of things.","It is not wrong to “play God.”","The argument that cognitive enhancement disrupts the natural order of things does not succeed.","Curing the sick disrupts the natural order of things.",NA
"AQ004E","When people talk about pursuing cognitive enhancement, they often have immediate, strong feelings. Consider the ""playing God"" argument that is often used in opposition to enhancement: people say that cognitive enhancement would disrupt the order of things, which is wrong. But this argument doesn't succeed--after all, we treat diseases and cure the sick, going against the natural order of things.","4","What is assumed when the claim “curing the sick disrupts the natural order of things” is used to oppose the claim that disrupting the natural order of things is wrong?","AQ004E_image_03.png","“Playing God” is not wrong.","Curing the sick is not wrong.","We have a duty to care for the sick.","People will no longer become sick if we pursue cognitive enhancement.","The case of cognitive enhancement and the case of curing the sick are the same.","Curing the sick is not wrong.",NA
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","1","What does this passage conclude?","AQ005E_image_00.png","Alex should buy a cat.","Alex should buy a pet.","Alex should not buy a dog or a hamster.","Dogs and hamsters are bad pets.","Cats are the best type of animal.","Alex should buy a cat.","The conclusion of this argument is that Alex should buy a cat."
"AQ005E","Alex: Hey, I'd like a buy a pet. Sam: Well, you can buy a cat, a dog, or a hamster. Hamsters are boring and dogs are more playful than cats. But you don't have time to walk a dog, so you should buy a cat.","2","Which of the following is used to directly support the claim “Alex should buy a cat”?","AQ005E_image_01.png","Cats do not involve any work and are the most playful animals.","Dogs are more playful than cats, and Alex does not like playful animals. Therefore, he should buy a cat.","Alex should buy a pet, and the only pet that people like are cats.","Hamsters are boring, and Alex should not buy a boring animal. The only animal that is not boring is a cat.","Alex can only buy a cat, a dog, or a hamster. However, he should not buy a dog or a hamster.","Alex can only buy a cat, a dog, or a hamster. However, he should not buy a dog or a hamster.","The conclusion of this argument is that Alex should buy a cat. The reason given for this conclusion contains the following three stated claims. First, that Alex can only buy a cat, a dog, or a hamster. Second, that Alex shouldn’t buy a dog. Third, that Alex shouldn’t buy a hamster. "
